,Method,Eads,Reference,Structure
CO2//r-TiO2,,,,
DFT,DFT,-95 to -559,kubasSurfaceAdsorptionEnergetics2016c,
DFT,PBE+U+D3,-640,kovacicElectronicPropertiesRutile2022,
WFT,CCSD(T),-542,kubasSurfaceAdsorptionEnergetics2016c,
H2O//r-TiO2,,,,
DFT,DFT,-442 to -950,kubasSurfaceAdsorptionEnergetics2016c,
DFT,HSE06,-840,liuStructureDynamicsLiquid2010b,
DFT,HF,-1638,banduraAdsorptionWaterTiO22004a,
DFT,PBE-TS,-1032,sorescuCoadsorptionPropertiesCO22012,
WFT,MP2,-1492,stefanovichInitioStudyWater1999,
WFT,DLPNO-CCSD(T),-984,kubasSurfaceAdsorptionEnergetics2016c,
WFT,LNO-CCSD(T),-964,yeInitioSurfaceChemistry2024,
WFT,CCSD,-1390,schaferLocalEmbeddingCoupled2021b,
CH3OH//r-TiO2,,,,
DFT,DFT,-468 to -1145,kubasSurfaceAdsorptionEnergetics2016c,
DFT,GGA,-1490,kieuTrendsAdsorptionEnergy2002,
DFT,GGA,-1234,batesAdsorptionDissociationROH1998,
DFT,PBE,-760,langFirstPrinciplesStudyMethanol2014,
WFT,DLPNO-CCSD(T),-1106,kubasSurfaceAdsorptionEnergetics2016c,
H2O//a-TiO2,,,,
DFT,PW91,-740,vittadiniStructureEnergeticsWater1998,
DFT,PW91,-650,millerEffectsWaterFormic2011,
DFT,B3LYP,-1088,onalAdsorptionWaterAmmonia2006,
DFT,PBE,-977,zhaoStructurePropertiesWater2012,
WFT,DLPNO-CCSD(T),-1170,petersenWaterAdsorptionIdeal2020,
NH3//a-TiO2,,,,
DFT,optB88-vdW,-1200,koustNH3AdsorptionAnataseTiO21012018,
DFT,B3LYP,-1113,onalAdsorptionWaterAmmonia2006,
DFT,B3LYP,-1153,wanbayorAdsorptionCOH22010,
DFT,PW91,-1193,changAdsorptionConfigurationDissociative2009,
