52.7,5.659e-8,1.256e-7,2.116e-7,3.218e-7,4.681e-7,6.717e-7,9.742e-7,0.000001471,0.000002439,0.000005149
52.8,6.245e-8,1.386e-7,2.335e-7,3.552e-7,5.166e-7,7.412e-7,0.000001075,0.000001624,0.000002692,0.000005682
52.9,6.889e-8,1.529e-7,2.576e-7,3.918e-7,5.699e-7,8.177e-7,0.000001186,0.000001791,0.00000297,0.000006269
53,7.597e-8,1.686e-7,2.841e-7,4.321e-7,6.285e-7,9.018e-7,0.000001308,0.000001975,0.000003275,0.000006913
53.1,8.375e-8,1.859e-7,3.132e-7,4.764e-7,6.929e-7,9.941e-7,0.000001442,0.000002178,0.00000361,0.000007621
53.2,9.23e-8,2.049e-7,3.452e-7,5.25e-7,7.636e-7,0.000001096,0.000001589,0.0000024,0.000003979,0.000008399
53.3,1.017e-7,2.257e-7,3.803e-7,5.783e-7,8.412e-7,0.000001207,0.000001751,0.000002644,0.000004383,0.000009253
53.4,1.12e-7,2.486e-7,4.188e-7,6.369e-7,9.265e-7,0.000001329,0.000001928,0.000002912,0.000004827,0.00001019
53.5,1.233e-7,2.737e-7,4.611e-7,7.012e-7,0.00000102,0.000001463,0.000002123,0.000003206,0.000005315,0.00001122
53.6,1.357e-7,3.012e-7,5.075e-7,7.718e-7,0.000001123,0.000001611,0.000002336,0.000003528,0.000005849,0.00001235
53.7,1.493e-7,3.314e-7,5.583e-7,8.491e-7,0.000001235,0.000001772,0.00000257,0.000003882,0.000006435,0.00001358
53.8,1.642e-7,3.645e-7,6.141e-7,9.339e-7,0.000001358,0.000001949,0.000002827,0.000004269,0.000007078,0.00001494
53.9,1.805e-7,4.007e-7,6.752e-7,0.000001027,0.000001494,0.000002143,0.000003108,0.000004694,0.000007782,0.00001643
54,1.985e-7,4.405e-7,7.422e-7,0.000001129,0.000001642,0.000002356,0.000003417,0.00000516,0.000008554,0.00001806
54.1,2.181e-7,4.84e-7,8.155e-7,0.00000124,0.000001804,0.000002588,0.000003754,0.000005669,0.000009399,0.00001984
54.2,2.395e-7,5.316e-7,8.958e-7,0.000001362,0.000001982,0.000002843,0.000004124,0.000006228,0.00001032,0.00002179
54.3,2.63e-7,5.838e-7,9.836e-7,0.000001496,0.000002176,0.000003122,0.000004528,0.000006838,0.00001134,0.00002393
54.4,2.887e-7,6.408e-7,0.00000108,0.000001642,0.000002389,0.000003427,0.000004971,0.000007507,0.00001244,0.00002627
54.5,3.169e-7,7.033e-7,0.000001185,0.000001802,0.000002621,0.000003761,0.000005455,0.000008238,0.00001366,0.00002883
